S 600aa0,1 miss line:0,tag:196693
S 7ff000398,8 miss line:3,tag:1073217564
S 7ff000390,8 miss line:2,tag:1073217564
S 7ff000378,8 miss line:3,tag:1073217563
S 7ff000370,8 miss line:2,tag:1073217563
S 7ff000384,4 miss line:0,tag:1073217564
L 7ff000384,4 hit line:0,tag:1073217564
S 7ff000388,4 miss line:1,tag:1073217564
L 7ff000388,4 hit line:1,tag:1073217564
L 7ff000384,4 hit line:0,tag:1073217564
L 7ff000378,8 hit line:3,tag:1073217563
L 7ff000388,4 hit line:1,tag:1073217564
L 600a20,4 miss eviction line:0,tag:196689
S 7ff00038c,4 hit line:1,tag:1073217564
L 7ff000388,4 hit line:1,tag:1073217564
L 7ff000370,8 hit line:2,tag:1073217563
L 7ff000384,4 hit line:0,tag:1073217564
L 7ff00038c,4 hit line:1,tag:1073217564
S 600a60,4 miss eviction line:0,tag:196691
M 7ff000388,4 hit hit line:1,tag:1073217564
L 7ff000388,4 hit line:1,tag:1073217564
L 7ff000384,4 hit line:0,tag:1073217564
L 7ff000378,8 hit line:3,tag:1073217563
L 7ff000388,4 hit line:1,tag:1073217564
L 600a24,4 miss eviction line:0,tag:196689
S 7ff00038c,4 hit line:1,tag:1073217564
L 7ff000388,4 hit line:1,tag:1073217564
L 7ff000370,8 hit line:2,tag:1073217563
L 7ff000384,4 hit line:0,tag:1073217564
L 7ff00038c,4 hit line:1,tag:1073217564
S 600a70,4 miss eviction line:2,tag:196691
M 7ff000388,4 hit hit line:1,tag:1073217564
L 7ff000388,4 hit line:1,tag:1073217564
L 7ff000384,4 hit line:0,tag:1073217564
L 7ff000378,8 hit line:3,tag:1073217563
L 7ff000388,4 hit line:1,tag:1073217564
L 600a28,4 miss line:1,tag:196689
S 7ff00038c,4 hit line:1,tag:1073217564
L 7ff000388,4 hit line:1,tag:1073217564
L 7ff000370,8 hit line:2,tag:1073217563
L 7ff000384,4 hit line:0,tag:1073217564
L 7ff00038c,4 hit line:1,tag:1073217564
S 600a80,4 miss eviction line:0,tag:196692
M 7ff000388,4 hit hit line:1,tag:1073217564
L 7ff000388,4 hit line:1,tag:1073217564
L 7ff000384,4 hit line:0,tag:1073217564
L 7ff000378,8 hit line:3,tag:1073217563
L 7ff000388,4 hit line:1,tag:1073217564
L 600a2c,4 hit line:1,tag:196689
S 7ff00038c,4 hit line:1,tag:1073217564
L 7ff000388,4 hit line:1,tag:1073217564
L 7ff000370,8 hit line:2,tag:1073217563
L 7ff000384,4 hit line:0,tag:1073217564
L 7ff00038c,4 hit line:1,tag:1073217564
S 600a90,4 miss eviction line:2,tag:196692
M 7ff000388,4 hit hit line:1,tag:1073217564
L 7ff000388,4 hit line:1,tag:1073217564
M 7ff000384,4 hit hit line:0,tag:1073217564
L 7ff000384,4 hit line:0,tag:1073217564
S 7ff000388,4 hit line:1,tag:1073217564
L 7ff000388,4 hit line:1,tag:1073217564
L 7ff000384,4 hit line:0,tag:1073217564
L 7ff000378,8 hit line:3,tag:1073217563
L 7ff000388,4 hit line:1,tag:1073217564
L 600a30,4 miss eviction line:2,tag:196689
S 7ff00038c,4 hit line:1,tag:1073217564
L 7ff000388,4 hit line:1,tag:1073217564
L 7ff000370,8 miss eviction line:2,tag:1073217563
L 7ff000384,4 hit line:0,tag:1073217564
L 7ff00038c,4 hit line:1,tag:1073217564
S 600a64,4 miss eviction line:0,tag:196691
M 7ff000388,4 hit hit line:1,tag:1073217564
L 7ff000388,4 hit line:1,tag:1073217564
L 7ff000384,4 hit line:0,tag:1073217564
L 7ff000378,8 hit line:3,tag:1073217563
L 7ff000388,4 hit line:1,tag:1073217564
L 600a34,4 hit line:2,tag:196689
S 7ff00038c,4 hit line:1,tag:1073217564
L 7ff000388,4 hit line:1,tag:1073217564
L 7ff000370,8 hit line:2,tag:1073217563
L 7ff000384,4 hit line:0,tag:1073217564
L 7ff00038c,4 hit line:1,tag:1073217564
S 600a74,4 miss eviction line:2,tag:196691
M 7ff000388,4 hit hit line:1,tag:1073217564
L 7ff000388,4 hit line:1,tag:1073217564
L 7ff000384,4 hit line:0,tag:1073217564
L 7ff000378,8 hit line:3,tag:1073217563
L 7ff000388,4 hit line:1,tag:1073217564
L 600a38,4 miss eviction line:3,tag:196689
S 7ff00038c,4 hit line:1,tag:1073217564
L 7ff000388,4 hit line:1,tag:1073217564
L 7ff000370,8 hit line:2,tag:1073217563
L 7ff000384,4 hit line:0,tag:1073217564
L 7ff00038c,4 hit line:1,tag:1073217564
S 600a84,4 miss eviction line:0,tag:196692
M 7ff000388,4 hit hit line:1,tag:1073217564
L 7ff000388,4 hit line:1,tag:1073217564
L 7ff000384,4 hit line:0,tag:1073217564
L 7ff000378,8 hit line:3,tag:1073217563
L 7ff000388,4 hit line:1,tag:1073217564
L 600a3c,4 hit line:3,tag:196689
S 7ff00038c,4 hit line:1,tag:1073217564
L 7ff000388,4 hit line:1,tag:1073217564
L 7ff000370,8 hit line:2,tag:1073217563
L 7ff000384,4 hit line:0,tag:1073217564
L 7ff00038c,4 hit line:1,tag:1073217564
S 600a94,4 miss eviction line:2,tag:196692
M 7ff000388,4 hit hit line:1,tag:1073217564
L 7ff000388,4 hit line:1,tag:1073217564
M 7ff000384,4 hit hit line:0,tag:1073217564
L 7ff000384,4 hit line:0,tag:1073217564
S 7ff000388,4 hit line:1,tag:1073217564
L 7ff000388,4 hit line:1,tag:1073217564
L 7ff000384,4 hit line:0,tag:1073217564
L 7ff000378,8 hit line:3,tag:1073217563
L 7ff000388,4 hit line:1,tag:1073217564
L 600a40,4 miss eviction line:0,tag:196690
S 7ff00038c,4 hit line:1,tag:1073217564
L 7ff000388,4 hit line:1,tag:1073217564
L 7ff000370,8 hit line:2,tag:1073217563
L 7ff000384,4 hit line:0,tag:1073217564
L 7ff00038c,4 hit line:1,tag:1073217564
S 600a68,4 miss eviction line:1,tag:196691
M 7ff000388,4 hit hit line:1,tag:1073217564
L 7ff000388,4 hit line:1,tag:1073217564
L 7ff000384,4 hit line:0,tag:1073217564
L 7ff000378,8 hit line:3,tag:1073217563
L 7ff000388,4 hit line:1,tag:1073217564
L 600a44,4 hit line:0,tag:196690
S 7ff00038c,4 hit line:1,tag:1073217564
L 7ff000388,4 hit line:1,tag:1073217564
L 7ff000370,8 hit line:2,tag:1073217563
L 7ff000384,4 hit line:0,tag:1073217564
L 7ff00038c,4 hit line:1,tag:1073217564
S 600a78,4 miss eviction line:3,tag:196691
M 7ff000388,4 hit hit line:1,tag:1073217564
L 7ff000388,4 hit line:1,tag:1073217564
L 7ff000384,4 hit line:0,tag:1073217564
L 7ff000378,8 hit line:3,tag:1073217563
L 7ff000388,4 hit line:1,tag:1073217564
L 600a48,4 miss eviction line:1,tag:196690
S 7ff00038c,4 hit line:1,tag:1073217564
L 7ff000388,4 hit line:1,tag:1073217564
L 7ff000370,8 hit line:2,tag:1073217563
L 7ff000384,4 hit line:0,tag:1073217564
L 7ff00038c,4 hit line:1,tag:1073217564
S 600a88,4 miss eviction line:1,tag:196692
M 7ff000388,4 hit hit line:1,tag:1073217564
L 7ff000388,4 hit line:1,tag:1073217564
L 7ff000384,4 hit line:0,tag:1073217564
L 7ff000378,8 hit line:3,tag:1073217563
L 7ff000388,4 hit line:1,tag:1073217564
L 600a4c,4 miss eviction line:1,tag:196690
S 7ff00038c,4 hit line:1,tag:1073217564
L 7ff000388,4 hit line:1,tag:1073217564
L 7ff000370,8 hit line:2,tag:1073217563
L 7ff000384,4 hit line:0,tag:1073217564
L 7ff00038c,4 hit line:1,tag:1073217564
S 600a98,4 miss eviction line:3,tag:196692
M 7ff000388,4 hit hit line:1,tag:1073217564
L 7ff000388,4 hit line:1,tag:1073217564
M 7ff000384,4 hit hit line:0,tag:1073217564
L 7ff000384,4 hit line:0,tag:1073217564
S 7ff000388,4 hit line:1,tag:1073217564
L 7ff000388,4 hit line:1,tag:1073217564
L 7ff000384,4 hit line:0,tag:1073217564
L 7ff000378,8 hit line:3,tag:1073217563
L 7ff000388,4 hit line:1,tag:1073217564
L 600a50,4 miss eviction line:2,tag:196690
S 7ff00038c,4 hit line:1,tag:1073217564
L 7ff000388,4 hit line:1,tag:1073217564
